Naslov,Cijena,URL_Proizvoda,URL_Slike,Stanje_Medija,Stanje_Omota,Tip_Artikla
THIN LIZZY - SHADES OF A BLUE ORPHANAGE,40.00,https://www.karmavinil.com/thin-lizzy-shades-of-a-blue-orphanage,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/44073/32838-vin.jpg.webp,LP,LP,Rabljeno
"TOWNSHEND, PETE ex-THE WHO - ANOTHER SCOOP",20.00,https://www.karmavinil.com/townshend-pete-ex-the-who-another-scoop,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64311/49469-vin.jpg.webp,2LP,2LP,Rabljeno
POLICE  - OUTLANDOS D'AMOUR,18.00,https://www.karmavinil.com/police-outlandos-d-amour-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/53024/45451-vin.jpg.webp,LP,LP,Rabljeno
POLICE - GHOST IN THE MACHINE,20.00,https://www.karmavinil.com/police-ghost-in-the-machine-2,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/36796/23246-vin.jpg.webp,LP,LP,Rabljeno
PRETENDERS - GET CLOSE,15.00,https://www.karmavinil.com/pretenders-get-close-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/47723/39956-vin.jpg.webp,LP,LP,Rabljeno
RARE BIRD - SOMEBODY'S WATCHING,25.00,https://www.karmavinil.com/rare-bird-somebody-s-watching,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64301/49459-vin.jpg.webp,LP,LP,Rabljeno
RATTLES - STAR-CLUB TAPES,20.00,https://www.karmavinil.com/rattles-star-club-tapes,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64282/49451-vin.jpg.webp,2LP,2LP,Rabljeno
RIBLJA CORBA - POKVARENA MASTA I PRLJAVE STRASTI,27.00,https://www.karmavinil.com/riblja-corba-pokvarena-masta-i-prljave-strasti-1,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/53503/7476-vin.jpg.webp,LP,LP,Rabljeno
ROLLING STONES - YOUR POLL WINNERS,50.00,https://www.karmavinil.com/rolling-stones-your-poll-winners,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64455/49476-vin.jpg.webp,LP,LP,Rabljeno
RUSH - SIGNALS,40.00,https://www.karmavinil.com/rush-signals,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/24236/7829-vin.jpg.webp,LP,LP,Rabljeno
"MORRISON, VAN - SOULCATCHER",23.00,https://www.karmavinil.com/morrison-van-soulcatcher,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/64310/49468-vin.jpg.webp,LP,LP,Rabljeno
MUSIC EMPORIUM - MUSIC EMPORIUM,40.00,https://www.karmavinil.com/music-emporium-music-emporium,https://www.karmavinil.com/image_style/product_list_item/Documents/Products/18393/890-vin.jpg.webp,LP,LP,Rabljeno
